Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Channel Islands,2025,13763,13047,20331,21919,23187,26297,28890,23860,18619,10724,12471,14081
Channel Islands,2024,17055,14888,23069,22081,23374,26180,32816,26380,20251,23694,17900,14893
Channel Islands,2023,12950,19726,25063,27243,30918,36635,38390,31076,31607,28935,27115,19088
Channel Islands,2022,16968,21175,25048,30769,23636,30138,37853,33844,31120,27647,27468,17579
Channel Islands,2021,1684,13176,13914,22512,28239,40977,41381,36839,37121,35612,30330,17467
Channel Islands,2020,18955,20318,13408,365,2514,13740,15323,18462,18147,26302,16745,3011
Channel Islands,2019,9193,22263,34951,39218,39070,44915,47581,49793,38681,36691,25212,22062
Channel Islands,2018,15986,24878,30668,37565,33616,39141,49533,39684,31267,26844,21703,15365
Channel Islands,2017,18887,20325,32263,33888,37528,44852,56194,40750,33063,25495,23696,16746
Channel Islands,2016,15710,20168,28054,26142,33476,39342,49119,45123,39450,28906,20029,19288
Channel Islands,2015,19847,21653,29901,23479,34023,33193,46749,35392,24994,21871,18913,14801
Channel Islands,2014,18927,21183,32109,25698,32869,43584,50470,39208,27100,18271,17923,14819
Channel Islands,2013,12800,10671,15541,18927,21009,24797,27997,26273,18851,7193,13638,14332
Channel Islands,2012,15786,17918,20902,19663,24524,29404,36269,33227,24867,19904,4999,2131
Channel Islands,2011,14343,5384,16432,24939,20563,27136,38637,30872,21264,19337,11667,12182
Channel Islands,2010,19213,23044,24377,22903,26806,27992,29118,32454,22813,16520,19691,12584
Channel Islands,2009,17352,24320,35244,36596,39758,29663,42749,46835,29820,19619,14275,12514
Channel Islands,2008,13861,19698,30885,29361,22006,36709,46116,46593,30425,23139,18847,14537
Channel Islands,2007,16087,23541,38890,35241,30366,37646,43741,43895,36658,21340,16468,16933
Channel Islands,2006,16009,22396,30129,35366,32466,39562,50276,51456,36954,23665,21689,15288
Channel Islands,2005,19573,21574,41489,40623,38757,61422,64849,52469,42447,28700,22204,NA
Channel Islands,2004,37978,30637,40684,56831,61310,58033,62994,79304,61629,26026,13107,9183
Channel Islands,2003,39792,32769,39387,43248,57610,66795,71851,74376,55783,41312,31566,31430
